name,method_name,qiskit_version,release_date,sample_size,platform_name,metric_name,metric_value,seed
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,8,70
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,70
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,71
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,71
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,72
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,72
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,73
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,73
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,74
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,74
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,75
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,75
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,76
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,76
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,8,77
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,77
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,78
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,78
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,79
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,79
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,80
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,80
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,12,81
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,21,81
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,82
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,82
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,83
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,83
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,84
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,84
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,85
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,20,85
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,12,86
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,21,86
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,87
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,87
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,88
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,19,88
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,89
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,89
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,90
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,90
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,91
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,91
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,92
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,19,92
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,93
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,22,93
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,94
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,19,94
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,95
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,95
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,96
